,Year,Month,variable,value
585,1987,10,2,34.5
586,1987,11,2,31.4
587,1987,12,2,27.6
588,1988,1,2,25.3
589,1988,2,2,27.2
590,1988,3,2,30.2
591,1988,4,2,37.9
592,1988,5,2,35.5
593,1988,6,2,35.4
594,1988,7,2,32.5
595,1988,8,2,33.5
596,1988,9,2,32.9
597,1988,10,2,30.8
598,1988,11,2,31.4
599,1988,12,2,27.3
600,1989,1,2,25.9
601,1989,2,2,28.3
602,1989,3,2,34
603,1989,4,2,38.8
604,1989,5,2,38.2
605,1989,6,2,34.5
606,1989,7,2,31.5
607,1989,8,2,31.2
608,1989,9,2,34
609,1989,10,2,34.4
610,1989,11,2,31
611,1989,12,2,28.3
612,1990,1,2,21
613,1990,2,2,29
614,1990,3,2,28
615,1990,4,2,31.5
616,1990,5,2,34.5
617,1990,6,2,36.2
618,1990,7,2,33
619,1990,8,2,31.6
620,1990,9,2,33.5
621,1990,10,2,29.5
622,1990,11,2,29.8
623,1990,12,2,28.5
624,1991,1,2,21
625,1991,2,2,28.4
626,1991,3,2,29.6
627,1991,4,2,40.2
628,1991,5,2,37.7
629,1991,6,2,32.8
630,1991,7,2,33
631,1991,8,2,34
632,1991,9,2,31
633,1991,10,2,35
634,1991,11,2,32
635,1991,12,2,25.8
636,1992,1,2,20.2
637,1992,2,2,25.6
638,1992,3,2,31.4
639,1992,4,2,36.6
640,1992,5,2,31.8
641,1992,6,2,39.4
642,1992,7,2,35.3
643,1992,8,2,32.4
644,1992,9,2,34.7
645,1992,10,2,34.4
646,1992,11,2,32.4
647,1992,12,2,26.3
648,1993,1,2,23.2
649,1993,2,2,26.7
650,1993,3,2,30
651,1993,4,2,39
652,1993,5,2,31.2
653,1993,6,2,35.5
654,1993,7,2,30
655,1993,8,2,33
656,1993,9,2,30.7
657,1993,10,2,32.6
658,1993,11,2,29.8
659,1993,12,2,29
660,1994,1,2,25.2
661,1994,2,2,20.8
662,1994,3,2,28.5
663,1994,4,2,33.6
664,1994,5,2,36.4
665,1994,6,2,38.4
666,1994,7,2,32.2
667,1994,8,2,34.6
668,1994,9,2,33.4
669,1994,10,2,34.4
670,1994,11,2,27.7
671,1994,12,2,25.8
672,1995,1,2,21.4
673,1995,2,2,26.2
674,1995,3,2,30.4
675,1995,4,2,37
676,1995,5,2,42.7
677,1995,6,2,38.6
678,1995,7,2,31
679,1995,8,2,33.8
680,1995,9,2,33.2
681,1995,10,2,33
682,1995,11,2,30.6
683,1995,12,2,27.1
684,1996,1,2,26
685,1996,2,2,27
686,1996,3,2,30.4
687,1996,4,2,34.8
688,1996,5,2,31.6
689,1996,6,2,32.4
690,1996,7,2,33.5
691,1996,8,2,33.2
692,1996,9,2,33.4
693,1996,10,2,34.7
694,1996,11,2,30
695,1996,12,2,28
696,1997,1,2,25
697,1997,2,2,25.3
698,1997,3,2,29.8
699,1997,4,2,34.4
700,1997,5,2,34.8
701,1997,6,2,****
702,1997,7,2,32.7
703,1997,8,2,34.5
704,1997,9,2,32.6
705,1997,10,2,31.7
706,1997,11,2,30.2
707,1997,12,2,25.6
708,1998,1,2,22
709,1998,2,2,26
710,1998,3,2,28.1
711,1998,4,2,31.5
712,1998,5,2,31.7
713,1998,6,2,36
714,1998,7,2,34.3
715,1998,8,2,33.5
716,1998,9,2,33.2
717,1998,10,2,33.6
718,1998,11,2,31.4
719,1998,12,2,28
720,1999,1,2,24.6
721,1999,2,2,27.5
722,1999,3,2,30.7
723,1999,4,2,39
724,1999,5,2,38
725,1999,6,2,34.8
726,1999,7,2,30
727,1999,8,2,32
728,1999,9,2,32.8
729,1999,10,2,33
730,1999,11,2,31
731,1999,12,2,28.4
732,2000,1,2,23
733,2000,2,2,21.7
734,2000,3,2,29.1
735,2000,4,2,38.8
736,2000,5,2,26.5
737,2000,6,2,35.2
738,2000,7,2,34.6
739,2000,8,2,32.8
740,2000,9,2,30.2
741,2000,10,2,30
742,2000,11,2,31.8
743,2000,12,2,25.5
744,2001,1,2,25.8
745,2001,2,2,27.6
746,2001,3,2,32.5
747,2001,4,2,35.2
748,2001,5,2,32.7
749,2001,6,2,34.5
750,2001,7,2,33
751,2001,8,2,32.2
752,2001,9,2,33.5
753,2001,10,2,31.6
754,2001,11,2,31.4
755,2001,12,2,27.5
756,2002,1,2,24.6
757,2002,2,2,24.8
758,2002,3,2,32.4
759,2002,4,2,27
760,2002,5,2,30.7
761,2002,6,2,35.6
762,2002,7,2,32
763,2002,8,2,31.5
764,2002,9,2,34
765,2002,10,2,34.1
766,2002,11,2,30.3
767,2002,12,2,28.5
768,2003,1,2,23.7
769,2003,2,2,26
770,2003,3,2,33.3
771,2003,4,2,35.8
772,2003,5,2,31.2
773,2003,6,2,37.5
774,2003,7,2,33
775,2003,8,2,32
776,2003,9,2,32.8
777,2003,10,2,32.2
778,2003,11,2,30.8
779,2003,12,2,26.2
780,2004,1,2,15.5
781,2004,2,2,25.6
782,2004,3,2,31
783,2004,4,2,32.5
784,2004,5,2,36.6
785,2004,6,2,33.7
786,2004,7,2,33.6
787,2004,8,2,34
788,2004,9,2,34.5
789,2004,10,2,34
790,2004,11,2,30
791,2004,12,2,28.7
792,2005,1,2,26
793,2005,2,2,23.8
794,2005,3,2,33.7
795,2005,4,2,34.5
796,2005,5,2,32.2
797,2005,6,2,42.8
798,2005,7,2,32.3
799,2005,8,2,34.2
800,2005,9,2,36.2
801,2005,10,2,29
802,2005,11,2,28.6
803,2005,12,2,27.6
804,2006,1,2,25.8
805,2006,2,2,28.8
806,2006,3,2,30.7
807,2006,4,2,37.2
808,2006,5,2,37.8
809,2006,6,2,33.4
810,2006,7,2,34.8
811,2006,8,2,33.6
812,2006,9,2,34.3
813,2006,10,2,34.5
814,2006,11,2,29.8
815,2006,12,2,26.5
816,2007,1,2,23.5
817,2007,2,2,28
818,2007,3,2,21.6
819,2007,4,2,39.4
820,2007,5,2,37.2
821,2007,6,2,38.7
822,2007,7,2,33.5
823,2007,8,2,31.7
824,2007,9,2,35.2
825,2007,10,2,32.8
826,2007,11,2,32.5
827,2007,12,2,26.8
828,2008,1,2,25.6
829,2008,2,2,21.3
830,2008,3,2,30.4
831,2008,4,2,30.5
832,2008,5,2,37.3
833,2008,6,2,33
834,2008,7,2,31.9
835,2008,8,2,34.7
836,2008,9,2,34
837,2008,10,2,34
838,2008,11,2,31.2
839,2008,12,2,28.5
840,2009,1,2,24
841,2009,2,2,25.5
842,2009,3,2,30.6
843,2009,4,2,34.2
844,2009,5,2,32.2
845,2009,6,2,36.5
846,2009,7,2,32.5
847,2009,8,2,35.2
848,2009,9,2,35
849,2009,10,2,34
850,2009,11,2,29.8
851,2009,12,2,29.2
852,2010,1,2,23.2
853,2010,2,2,27.8
854,2010,3,2,34.5
855,2010,4,2,39.2
856,2010,5,2,33.3
857,2010,6,2,36.8
858,2010,7,2,33.2
859,2010,8,2,34.5
860,2010,9,2,35.3
861,2010,10,2,35.8
862,2010,11,2,26.4
863,2010,12,2,26.8
864,2011,1,2,21.2
865,2011,2,2,25.7
866,2011,3,2,30.5
867,2011,4,2,36.5
868,2011,5,2,35.3
869,2011,6,2,36.7
870,2011,7,2,33
871,2011,8,2,35
872,2011,9,2,33.8
873,2011,10,2,33.4
874,2011,11,2,30
875,2011,12,2,28.5
876,2012,1,2,19.6
877,2012,2,2,24.1
878,2012,3,2,31.2
879,2012,4,2,35.3
880,2012,5,2,34.3
881,2012,6,2,36.5
882,2012,7,2,35.6
883,2012,8,2,33.6
884,2012,9,2,36
885,2012,10,2,34
886,2012,11,2,29.4
887,2012,12,2,27.9
888,2013,1,2,26.5
889,2013,2,2,27.5
890,2013,3,2,29
891,2013,4,2,37.4
892,2013,5,2,40.5
893,2013,6,2,35.5
894,2013,7,2,34.4
895,2013,8,2,36.6
896,2013,9,2,30.8
897,2013,10,2,34.3
898,2013,11,2,30.7
899,2013,12,2,28.3
900,2014,1,2,25.8
901,2014,2,2,23
902,2014,3,2,23.6
903,2014,4,2,37.4
904,2014,5,2,33.6
905,2014,6,2,33.3
906,2014,7,2,33.5
907,2014,8,2,36.8
908,2014,9,2,34.5
909,2014,10,2,33.5
910,2014,11,2,31.1
911,2014,12,2,27.6
912,2015,1,2,28.7
913,2015,2,2,26
914,2015,3,2,29
915,2015,4,2,35.6
916,2015,5,2,35
917,2015,6,2,37.7
918,2015,7,2,35.2
919,2015,8,2,31
920,2015,9,2,31.8
921,2015,10,2,36
922,2015,11,2,30.6
923,2015,12,2,29.5
924,2016,1,2,26.8
925,2016,2,2,27.5
926,2016,3,2,34
927,2016,4,2,29.8
928,2016,5,2,32
929,2016,6,2,36
930,2016,7,2,35
931,2016,8,2,34
932,2016,9,2,35
933,2016,10,2,36.5
934,2016,11,2,32.7
935,2016,12,2,29.6
936,2017,1,2,26.5
937,2017,2,2,23.6
938,2017,3,2,34
939,2017,4,2,37.4
940,2017,5,2,32.6
941,2017,6,2,35.4
942,2017,7,2,33.8
943,2017,8,2,35.7
944,2017,9,2,31.8
945,2017,10,2,31.8
946,2017,11,2,29.7
947,2017,12,2,28.5
948,2018,1,2,23.3
949,2018,2,2,24.4
950,2018,3,2,33.4
951,2018,4,2,33
952,2018,5,2,29
953,2018,6,2,35.2
954,2018,7,2,35.2
955,2018,8,2,31.2
956,2018,9,2,30.7
957,2018,10,2,35.4
958,2018,11,2,32.3
959,2018,12,2,27
960,2019,1,2,26
961,2019,2,2,27.4
962,2019,3,2,26.2
963,2019,4,2,34.6
964,2019,5,2,35.6
965,2019,6,2,26.4
966,2019,7,2,34
967,2019,8,2,35.5
968,2019,9,2,35.5
969,2019,10,2,32.5
970,2019,11,2,31.1
971,2019,12,2,27.5
972,2020,1,2,25.7
973,2020,2,2,23.8
974,2020,3,2,30.4
975,2020,4,2,38.2
976,2020,5,2,31
977,2020,6,2,36.5
978,2020,7,2,35.6
979,2020,8,2,35.4
980,2020,9,2,34
981,2020,10,2,31.6
982,2020,11,2,33.2
983,2020,12,2,28.5
984,2021,1,2,25.5
985,2021,2,2,24.6
986,2021,3,2,33.2
987,2021,4,2,38.9
988,2021,5,2,35.8
989,2021,6,2,34.4
990,2021,7,2,31.7
991,2021,8,2,33.1
992,2021,9,2,33.5
993,2021,10,2,35
994,2021,11,2,30.2
995,2021,12,2,30
996,2022,1,2,22.6
997,2022,2,2,25.1
998,2022,3,2,30.3
999,2022,4,2,33
1000,2022,5,2,34.4
1001,2022,6,2,36.2
1002,2022,7,2,36.5
1003,2022,8,2,34.8
1004,2022,9,2,****
1005,2022,10,2,****
1006,2022,11,2,****
1007,2022,12,2,****
1008,1981,1,3,23.6
1009,1981,2,3,23.3
1010,1981,3,3,30
1011,1981,4,3,34.2
1012,1981,5,3,31.1
1013,1981,6,3,34.2
1014,1981,7,3,29.4
1015,1981,8,3,32.4
1016,1981,9,3,****
1017,1981,10,3,****
1018,1981,11,3,****
1019,1981,12,3,****
1020,1982,1,3,****
1021,1982,2,3,****
1022,1982,3,3,****
1023,1982,4,3,****
1024,1982,5,3,****
1025,1982,6,3,34
1026,1982,7,3,38.3
1027,1982,8,3,25.6
1028,1982,9,3,32.4
1029,1982,10,3,32.8
1030,1982,11,3,30.2
1031,1982,12,3,26.5
1032,1983,1,3,19.7
1033,1983,2,3,22.7
1034,1983,3,3,32.1
1035,1983,4,3,39.2
1036,1983,5,3,31.4
1037,1983,6,3,35.3
1038,1983,7,3,31.2
1039,1983,8,3,29.1
1040,1983,9,3,32.3
1041,1983,10,3,31.7
1042,1983,11,3,30.5
1043,1983,12,3,27.8
1044,1984,1,3,23.2
1045,1984,2,3,27.1
1046,1984,3,3,29.9
1047,1984,4,3,41.5
1048,1984,5,3,****
1049,1984,6,3,34.6
1050,1984,7,3,33.5
1051,1984,8,3,32
1052,1984,9,3,31.3
1053,1984,10,3,28
1054,1984,11,3,29.8
1055,1984,12,3,27
1056,1985,1,3,26
1057,1985,2,3,26
1058,1985,3,3,32.9
1059,1985,4,3,****
1060,1985,5,3,31
1061,1985,6,3,36.5
1062,1985,7,3,31.2
1063,1985,8,3,32
1064,1985,9,3,31.6
1065,1985,10,3,32.4
1066,1985,11,3,31
1067,1985,12,3,26.4
1068,1986,1,3,23.1
1069,1986,2,3,26.2
1070,1986,3,3,30
1071,1986,4,3,32.5
1072,1986,5,3,35.9
1073,1986,6,3,40
1074,1986,7,3,34
1075,1986,8,3,30.5
1076,1986,9,3,34.6
1077,1986,10,3,30.5
1078,1986,11,3,30.3
1079,1986,12,3,26.9
1080,1987,1,3,22.6
1081,1987,2,3,28.2
1082,1987,3,3,30.2
1083,1987,4,3,40.7
1084,1987,5,3,27
1085,1987,6,3,35.4
1086,1987,7,3,32.3
1087,1987,8,3,31.5
1088,1987,9,3,32.5
1089,1987,10,3,34.2
1090,1987,11,3,30.9
1091,1987,12,3,27.9
1092,1988,1,3,26.4
1093,1988,2,3,27
1094,1988,3,3,30.5
1095,1988,4,3,38.4
1096,1988,5,3,35.6
1097,1988,6,3,35.8
1098,1988,7,3,32.6
1099,1988,8,3,31.3
1100,1988,9,3,32.7
1101,1988,10,3,33
1102,1988,11,3,31.3
1103,1988,12,3,27.8
